City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
151,Santa Cruz De Tenerife,ES,28.4682,-16.2546,71.82,72,20,9.22,few clouds
152,Natitingou,BJ,10.3042,1.3796,83.73,14,16,5.32,few clouds
153,Codrington,AU,-38.2667,141.9667,59.43,69,0,9.78,clear sky
154,Bengkulu,ID,-3.8004,102.2655,75.47,87,71,6.85,broken clouds
155,Ranong,TH,9.9658,98.6348,75.78,85,24,3.27,few clouds
156,Mahuva,IN,21.0914,71.7622,68.4,64,2,7.72,clear sky
157,New Amsterdam,GY,6.25,-57.5167,83.62,67,58,8.05,broken clouds
158,Dhar,IN,22.6,75.3,60.84,35,1,6.2,clear sky
159,Airai,TL,-8.9266,125.4092,60.96,91,98,1.57,overcast clouds
160,Tirumakudal Narsipur,IN,12.21,76.9064,72.1,59,52,3.98,broken clouds
161,Nalut,LY,30.3333,10.85,62.85,16,100,6.06,overcast clouds
162,Hithadhoo,MV,-0.6,73.0833,82.62,70,97,17.29,overcast clouds
163,Le Passage,FR,44.2014,0.6028,52.66,76,100,5.75,overcast clouds
164,Westport,US,41.1415,-73.3579,38.8,94,100,5.75,light rain
165,Palmerston,AU,-12.486,130.9833,80.58,93,100,4.61,overcast clouds
166,Roald,NO,62.5833,6.1333,41.32,75,75,11.5,light rain
167,Tuatapere,NZ,-46.1333,167.6833,42.82,92,4,3.94,clear sky
168,Lebu,CL,-37.6167,-73.65,66.15,73,6,14.67,clear sky
169,Egvekinot,RU,66.3167,-179.1667,-19.97,84,8,12.39,clear sky
170,San Jeronimo,PE,-11.9472,-75.2829,59.09,65,98,6.49,overcast clouds
171,Sylvan Lake,CA,52.3168,-114.0853,47.52,31,0,12.66,clear sky
172,Balabac,PH,7.9868,117.0645,79.59,77,67,13.11,broken clouds
173,Adelaide,AU,-34.9333,138.6,80.19,28,0,12.66,clear sky
174,Kuytun,RU,54.3419,101.5036,10.09,95,99,5.55,overcast clouds
175,Khudumelapye,BW,-23.8833,24.75,79.27,32,60,5.41,broken clouds
176,Chancay,PE,-11.5714,-77.2672,80.33,67,42,9.26,scattered clouds
177,Payo,ID,-3.7508,103.6372,71.8,96,76,2.93,broken clouds
178,Verkhovazhye,RU,60.7472,42.0465,12.07,95,96,6.8,overcast clouds
179,Srednekolymsk,RU,67.45,153.6833,-40.95,100,61,4.92,broken clouds
180,Ostrovnoy,RU,68.0531,39.5131,16.12,87,100,19.82,overcast clouds
181,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,68,20,9.37,few clouds
182,Nshamba,TZ,-1.7983,31.5511,67.06,80,99,4.61,overcast clouds
183,Ponta Do Sol,PT,32.6667,-17.1,65.12,61,10,10.71,clear sky
184,Mar Del Plata,AR,-38.0023,-57.5575,68.02,70,75,18.41,broken clouds
185,Senneterre,CA,48.3835,-77.2328,19.62,92,100,5.88,light snow
186,Ponta Delgada,PT,37.7333,-25.6667,61.52,63,20,11.5,few clouds
187,Jalu,LY,29.0331,21.5482,62.8,25,36,2.55,scattered clouds
188,Varzea Da Palma,BR,-17.5981,-44.7308,74.37,83,100,4.85,light rain
189,Chacabuco,AR,-34.6417,-60.4739,73.8,35,0,7.85,clear sky
190,Pevek,RU,69.7008,170.3133,-28.39,99,46,3.18,scattered clouds
191,Faanui,PF,-16.4833,-151.75,81.52,78,100,20.04,overcast clouds
192,Canton,CN,23.1167,113.25,57.99,69,91,11.3,overcast clouds
193,Birao,CF,10.2849,22.7882,72.0,12,0,6.58,clear sky
194,Rio Gallegos,AR,-51.6226,-69.2181,82.45,20,0,20.71,clear sky
195,Kalevala,RU,65.2,31.1667,26.22,97,96,2.95,overcast clouds
196,Santiago Del Estero,AR,-27.7951,-64.2615,88.68,26,1,7.9,clear sky
197,Brokopondo,SR,4.75,-55.1667,83.97,66,75,5.86,broken clouds
198,Amazar,RU,53.858,120.875,-11.11,97,14,2.68,few clouds
199,Gat,IL,31.61,34.7642,57.88,100,2,3.06,clear sky
200,Inirida,CO,3.8653,-67.9239,76.8,92,77,4.5,broken clouds
201,Pisco,PE,-13.7,-76.2167,73.02,88,20,8.05,few clouds
202,Nikel,RU,69.4128,30.222,19.58,95,99,6.55,overcast clouds
203,Hvide Sande,DK,56.0045,8.1294,41.29,78,49,18.14,scattered clouds
204,Raleigh,US,35.7721,-78.6386,39.79,93,100,1.99,moderate rain
205,Polis,CY,35.0367,32.4264,55.22,82,67,5.91,broken clouds
206,Qaanaaq,GL,77.484,-69.3632,2.19,73,100,7.54,overcast clouds
207,Ariquemes,BR,-9.9133,-63.0408,81.05,86,99,3.69,light rain
208,Dunedin,NZ,-45.8742,170.5036,54.81,72,0,1.01,clear sky
209,Grand Gaube,MU,-20.0064,57.6608,79.2,83,55,5.99,broken clouds
210,Kahului,US,20.8947,-156.47,74.84,77,0,14.97,clear sky
211,Ilebo,CD,-4.3167,20.5833,76.05,81,100,0.2,light rain
212,Rietavas,LT,55.7194,21.9311,34.41,92,25,7.94,scattered clouds
213,Kuusamo,FI,65.9667,29.1833,21.24,93,100,3.44,overcast clouds
214,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,100,75,8.95,light snow
215,Khapa,IN,21.4333,78.9667,66.15,32,14,3.18,few clouds
216,Mashhad,IR,36.297,59.6062,39.34,75,100,6.91,overcast clouds
217,Mehamn,NO,71.0357,27.8492,21.11,89,98,10.25,overcast clouds
218,Pitimbu,BR,-7.4706,-34.8086,88.39,59,85,10.29,overcast clouds
219,Namibe,AO,-15.1961,12.1522,74.03,75,67,12.01,broken clouds
220,Coquimbo,CL,-29.9533,-71.3436,67.73,68,75,9.22,broken clouds
221,Unity,CA,52.4501,-109.1682,27.25,79,76,10.58,broken clouds
222,Auray,FR,47.6703,-2.9918,52.56,92,93,5.48,overcast clouds
223,Araouane,ML,18.9048,-3.5265,74.17,8,4,8.37,clear sky
224,Cabras,IT,39.93,8.5314,51.08,72,46,16.67,scattered clouds
225,Peniche,PT,39.3558,-9.3811,67.95,64,0,10.0,clear sky
226,Antropovo,RU,58.3988,43.0066,12.18,97,99,7.18,overcast clouds
227,Evensk,RU,61.95,159.2333,-1.62,66,64,9.1,broken clouds
228,Okhotsk,RU,59.3833,143.3,3.83,78,98,7.7,overcast clouds
229,Tongling,CN,30.95,117.7833,32.63,100,100,3.85,overcast clouds
230,Portland,US,45.5234,-122.6762,47.25,91,75,8.01,broken clouds
231,Nikolskoye,RU,59.7035,30.7861,34.88,98,100,6.33,snow
232,Malmyzh,RU,56.5205,50.6818,4.06,99,99,3.49,overcast clouds
233,Piedras Negras,MX,28.7,-100.5167,58.66,38,21,13.0,few clouds
234,Sao Filipe,CV,14.8961,-24.4956,73.0,74,1,7.25,clear sky
235,Puerto Penasco,MX,31.3167,-113.5333,66.9,16,0,11.99,clear sky
236,Hambantota,LK,6.1241,81.1185,78.19,76,100,4.99,overcast clouds
